SPORT,TEAM,CITY,CHAMPIONSHIPS
BASKETBALL,TRAIL BLAZERS,PORTLAND,1
BASKETBALL,LAKERS,LOS ANGELES,17
BASKETBALL,NUGGETS,DENVER,1
BASKETBALL,SPURS,SAN ANTONIO,5
BASKETBALL,BULLS,CHICAGO,6

